desc,Price,Currency,Category,Address,Bed_Rooms,Washroom,SKU,Image,Product_url
"Avec ses 3 chambres à coucher et une possibilité de 5. De bonne construction et à bon prix, elle saura vous plaire.",142500,CAD,Maison à vendre,"55, 5e Rue,Chapais",3,2,18074448,https://mspublic.centris.ca/media.ashx?id=ADDD250D2350003D11279EDD1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chapais/18074448?view=Summary
PROPRIÉTÉ LIBRE IMMÉDIATEMENT !! UN CHEZ SOI MOINS CHER QU'UN LOGMENT !! Un petit peu d'amour et vous redonnerez de l'éclat à cette maison spacieuse avec 5 chambres à coucher. Bels espaces de vie au rdc. Vous pourrez aménager le sous-sol selon vos goûts. QU'ATTENDEZ-VOUS POUR UNE VISITE ?,96500,CAD,Maison à vendre,"52, Rue des Cèdres,Lebel-sur-Quévillon",5,2,23152971,https://mspublic.centris.ca/media.ashx?id=ADDD250D2E29936D1A1CFC9D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/23152971?view=Summary
"Beau grand duplex avec deux grand 5 1/2, garage et cour. Idéale pour un propriétaire occupant car l'autre logement aide à payer l'hypothèque. Se duplex est très bien situé, proche des écoles et du centre ville. À voir!",220000,CAD,Duplex à vendre,"122 - 124, 3e Avenue Nord,Chibougamau",3,1,16621835,https://mspublic.centris.ca/media.ashx?id=ADDD250D23A5FBADD6381D9D1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/duplex~a-vendre~chibougamau/16621835?view=Summary
"Maison de bonne construction et bien entretenue au fil du temps, elle saura vous plaire avec toutes ses commodités.",239900,CAD,Maison à vendre,"178, Rue  Joe-Mann,Chibougamau",4,2,25774716,https://mspublic.centris.ca/media.ashx?id=ADDD250D2557CAAD1BFC807D1F&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/25774716?view=Summary
"Voici la maison que vous cherchez pour vous et votre famille! Garage, 5 chambres, 2 salles de bain, beau terrain en coin...Venez la voir, vous serez agréablement surpris!",110000,CAD,Maison à vendre,"40, Rue des Merisiers,Lebel-sur-Quévillon",5,2,16448397,https://mspublic.centris.ca/media.ashx?id=ADDD250D202639BDD6869B3D14&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/16448397?view=Summary
,125000,CAD,Maison à vendre,"70, Rue des Pins,Lebel-sur-Quévillon",4,1,28276713,https://mspublic.centris.ca/media.ashx?id=ADDD250D26B2569D186005FD1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/28276713?view=Summary
"Maison traditionnelle Québécoise de 3 chambres au RDC. Logement de 2 chambres au sous-sol. Terrain de 7000pc, stationnement pour 4 voitures, garage et cabanon. Beaucoup d'améliorations au fil des ans. Drain français maison et garage, toiture récente maison et garage aussi, galerie avant et arrière rafraichies en 2021.",130000,CAD,Maison à vendre,"82, Rue des Pommiers,Lebel-sur-Quévillon",5,2,22234363,https://mspublic.centris.ca/media.ashx?id=ADDD250D2703F55D1E2CC69D11&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/22234363?view=Summary
"Maison 4 chambres, garage, bien située. Prise de possession rapide. Votre chez vous pour le prix d'un logement!",99000,CAD,Maison à vendre,"11, 3e Rue,Chapais",4,1,13519445,https://mspublic.centris.ca/media.ashx?id=ADDD250D261BA33DD75C8EED1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chapais/13519445?view=Summary
"Belle propriété clé en main qui saura vous charmer avec ses belles pièces lumineuses, une très grande chambre des maîtres, un terrain aménagé ainsi qu'un beau garage électrifié. Un beau patio arrière de 12 X 12 et un gazebo de 16 pieds en bois pour profiter de vos étés sur votre terrain. À qui la chance !",125000,CAD,Maison à vendre,"208, boulevard  Matagami,Matagami",3,1,12617072,https://mspublic.centris.ca/media.ashx?id=ADDD250D2659945DD7DBE0DD1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~matagami/12617072?view=Summary
"Maison bien entretenue au fil des ans. 2 stationnements en gravier, idéal pour entreposer un motorisé. Le terrain est assez spacieux pour y construire un garage. La propriété est adossée à la piste cyclable et le voisin arrière c'est la forêt!",172500,CAD,Maison à vendre,"63, Rue des Ormes,Lebel-sur-Quévillon",5,2,22416882,https://mspublic.centris.ca/media.ashx?id=ADDD250D2332D6BD1EAD364D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/22416882?view=Summary
"Beau grand terrain prêt à vous établir, ancienne pourvoirie, poissons en abondance. Situé à Miquelon",95000,CAD,Terrain à vendre,"2536, Route  113,Eeyou Istchee Baie-James",,,27390300,https://mspublic.centris.ca/media.ashx?id=ADDD250D26F18A3D18161E7D1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/terrain~a-vendre~eeyou-istchee-baie-james/27390300?view=Summary
"Jolie maison avec vue sur une partie de sur la ville. Pièces communes à aires ouvertes, planchers de bois au salon et dans les 2 chambres et une grande salle de bains vous sont offert au RDC. Stationnement asphalté pour 3 voitures et un garage avec électricité.",109000,CAD,Maison à vendre,"62, Rue des Cèdres,Lebel-sur-Quévillon",2,2,15010857,https://mspublic.centris.ca/media.ashx?id=ADDD250D25CB898DD5ED74FD1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/15010857?view=Summary
"Maison solide, bien située avec un grand terrain. Stationnement double largeur assez grand pour 4 véhicules. La propriété offre deux logements et a accueilli des chambreurs dans les dernières années. Elle n'est peut-être pas au goût du jour, mais à votre rythme pourrez la mettre À VOTRE GOÛT :)",110000,CAD,Maison à vendre,"53, Rue des Épinettes,Lebel-sur-Quévillon",4,2,25898413,https://mspublic.centris.ca/media.ashx?id=ADDD250D20D154FD1B94383D12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/25898413?view=Summary
Grande maison avec un super potentiel. On aime la luminosité offerte par les grandes fenêtres du grand salon et le rangement de la chambre principale qui fait tout un mur.,120000,CAD,Maison à vendre,"78, Rue des Bouleaux,Lebel-sur-Quévillon",4,1,16105432,https://mspublic.centris.ca/media.ashx?id=ADDD250D293DB26DD6E963BD12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/16105432?view=Summary
"Domaine du lac Dulieux à 15 minutes de la ville,5 minutes de l'aéroport, terrasse 800 pieds carrés, installation pour génératrice, plage, vue panoramique, sous-sol 8pieds et +,9600 pieds carrés de gazon, avec 4 chambres à coucher, elle saura vous plaire.",535000,CAD,Chalet à vendre,"3, Chemin du Lac-Dulieux,Chibougamau",4,3,23063120,https://mspublic.centris.ca/media.ashx?id=ADDD250D272F3B9D1E658EDD1E&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/chalet~a-vendre~chibougamau/23063120?view=Summary
Maison de 7 chambres avec un super potentiel. Les pièces communes sont au RDC et les chambres sont au sous-sol et à l'étage. Il y a 2 salles de bains avec les chambres et il y a une salle d'eau ainsi que les laveuse / sécheuse au RDC. La toiture est d'origine et le terrain de 7561pc peut être aménagé selon vos besoins.,230000,CAD,Maison à vendre,"72, Côte du Plateau,Lebel-sur-Quévillon",7,3,18644613,https://mspublic.centris.ca/media.ashx?id=ADDD250D274B439D11705BED1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/18644613?view=Summary
"**LIBRE IMMÉDIATEMENT** Soyez chez vous pour moins cher qu'un loyer. Jumelé situé près de tous les services à pied, rez-de chaussée à aire ouverte, 2 salles de bains, 3 chambres à l'étage ainsi qu'un sous-sol complètement aménagé. Grand patio, cour clôturée et remise. N'attendez plus contactez-moi pour une visite !",75000,CAD,Maison à vendre,"11, Place  Franquet,Lebel-sur-Quévillon",3,2,12728582,https://mspublic.centris.ca/media.ashx?id=ADDD250D26FD4CBDD742FDAD11&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/12728582?view=Summary
"Propriété très bien située, 3 chambres à coucher et un garage. À bas prix, parfait pour une première maison.(voir photos 360 degrés patricksaucier.com multimédias écrit en rouge)",151200,CAD,Maison à vendre,"317, Rue  Wilson,Chibougamau",3,1,12091483,https://mspublic.centris.ca/media.ashx?id=ADDD250D2978E75DD9BBDE9D12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/12091483?view=Summary
"Magnifique maison à deux étages complètement rénovée au goût du jour et située dans un superbe quartier tranquille. Elle possède 2 halls d'entrée, 4 chambres, 2 salles de bains complètes ainsi qu'un garage. Une visite vous comblera! Pour informations: Mme Lynda Desgagné au 418-770-9038",355000,CAD,Maison à vendre,"7, Rue du Rond-Point,Chapais",4,3,13124584,https://mspublic.centris.ca/media.ashx?id=ADDD250D2B3AF24DD7BC25BD1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chapais/13124584?view=Summary
LIBRE IMMÉDIATEMENT !! Propriété au cachet unique au décor d'antan. Cette maison vous offre 3 chambres à coucher possibilité d'une 4e chambre à la mezzanine. Un hall d'entrée spacieux pouvant servir de solarium. Un garage avec une belle grande cour arrière complètememt aménagée. De l'espace pour toute la famille. Contactez-moi pour une visite !,144500,CAD,Maison à vendre,"89, Rue des Sapins,Lebel-sur-Quévillon",4,1,14577426,https://mspublic.centris.ca/media.ashx?id=ADDD250D26FD4A9DD35A614D1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/14577426?view=Summary
"Belle maison très bien entretenu avec les années, 3e propriétaire. 5 chambres a couchés, deux salle de bains complète, un coin de rue sans voisin sur le côté. Belle cour bien aménagée, intime, avec spa et gazébo. Possibilité d'acheter des meubles. Idéale pour famille avec jeune enfant car nous avons 3 chambres au rez-de-chaussée! Demander votre visite sans tarder!",250000,CAD,Maison à vendre,"299, Rue  Laframboise,Chibougamau",5,2,14385725,https://mspublic.centris.ca/media.ashx?id=ADDD250D26512C2DD39B423D14&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/14385725?view=Summary
"À VENDRE à Lebel-sur-Quévillon un beau jumelé clé en main:4 chambres dont une une chambre des maitres au sous-sol, 2 salles de bain dont une avec plancher chauffant et 1 salle d'eau . De belles rénovations ont été effectuées, rue en cul-de-sac. Venez voir par vous mêmes une visite s'impose. A qui la chance !",98000,CAD,Maison à vendre,"5, Place  Verneuil,Lebel-sur-Quévillon",4,3,23507205,https://mspublic.centris.ca/media.ashx?id=ADDD250D23AEA51D1AA91DED12&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~lebel-sur-quevillon/23507205?view=Summary
"Belle propriété lumineuse avec garage et remise, 4 chambres à coucher près de la polyvalente, aréna et golf. Prise de possession plus rapide a discuter avec les vendeurs. C'est à voir!!",179000,CAD,Maison à vendre,"146, Rue  Jaculet,Chibougamau",4,1,13197216,https://mspublic.centris.ca/media.ashx?id=ADDD250D236FB50DD7FE68DD1A&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/13197216?view=Summary
,109900,CAD,Maison mobile à vendre,"1617, Rue  Saint-Jacques,Chibougamau",2,1,19518303,https://mspublic.centris.ca/media.ashx?id=ADDD250D2982415D14F32E6D11&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison-mobile~a-vendre~chibougamau/19518303?view=Summary
"Belle maison située près de tous les services. Très lumineuse avec grand hall d'entrée, vaste patio et garage isolé. Demandez une visite! Lynda Desgagné 418-770-9038",259900,CAD,Maison à vendre,"715, 5e Rue,Chibougamau",4,2,25317413,https://mspublic.centris.ca/media.ashx?id=ADDD250D2662B8AD1B4ED4ED1B&t=pi&w=320&h=240&sm=c,https://www.centris.ca/fr/maison~a-vendre~chibougamau/25317413?view=Summary
